net = network.Network([784, 30, 10])
--------------------------------------------
net.SGD(training_data, 30, 10, 3.0, test_data=test_data)

Epoch 0: 9114 / 10000
Epoch 1: 9277 / 10000
Epoch 2: 9325 / 10000
Epoch 3: 9358 / 10000
Epoch 4: 9384 / 10000
Epoch 5: 9422 / 10000
Epoch 6: 9430 / 10000
Epoch 7: 9424 / 10000
Epoch 8: 9436 / 10000
Epoch 9: 9477 / 10000
Epoch 10: 9472 / 10000
Epoch 11: 9456 / 10000
Epoch 12: 9462 / 10000
Epoch 13: 9490 / 10000
Epoch 14: 9515 / 10000
Epoch 15: 9499 / 10000
Epoch 16: 9480 / 10000
Epoch 17: 9498 / 10000
Epoch 18: 9505 / 10000
Epoch 19: 9511 / 10000
Epoch 20: 9517 / 10000
Epoch 21: 9493 / 10000
Epoch 22: 9508 / 10000
Epoch 23: 9522 / 10000
Epoch 24: 9522 / 10000
Epoch 25: 9506 / 10000
Epoch 26: 9509 / 10000
Epoch 27: 9505 / 10000
Epoch 28: 9511 / 10000
Epoch 29: 9513 / 10000
---------------------------
net.SGD_improved(training_data, 30, 10, 3.0, test_data=test_data, lmbda=0.3)

Epoch 0: 9502 / 10000
Epoch 1: 9503 / 10000
Epoch 2: 9519 / 10000
Epoch 3: 9520 / 10000
Epoch 4: 9528 / 10000
Epoch 5: 9509 / 10000
Epoch 6: 9518 / 10000
Epoch 7: 9517 / 10000
Epoch 8: 9508 / 10000
Epoch 9: 9517 / 10000
Epoch 10: 9546 / 10000
Epoch 11: 9544 / 10000
Epoch 12: 9553 / 10000
Epoch 13: 9530 / 10000
Epoch 14: 9526 / 10000
Epoch 15: 9567 / 10000
Epoch 16: 9538 / 10000
Epoch 17: 9557 / 10000
Epoch 18: 9572 / 10000
Epoch 19: 9577 / 10000
Epoch 20: 9551 / 10000
Epoch 21: 9592 / 10000
Epoch 22: 9564 / 10000
Epoch 23: 9555 / 10000
Epoch 24: 9585 / 10000
Epoch 25: 9594 / 10000
Epoch 26: 9561 / 10000
Epoch 27: 9580 / 10000
Epoch 28: 9595 / 10000
Epoch 29: 9574 / 10000
---------------------------
net.SGD_improved(training_data, 30, 10, 3.0, test_data=test_data, lmbda=0.8)

Epoch 0: 9109 / 10000
Epoch 1: 9251 / 10000
Epoch 2: 9361 / 10000
Epoch 3: 9430 / 10000
Epoch 4: 9395 / 10000
Epoch 5: 9434 / 10000
Epoch 6: 9432 / 10000
Epoch 7: 9494 / 10000
Epoch 8: 9498 / 10000
Epoch 9: 9493 / 10000
Epoch 10: 9489 / 10000
Epoch 11: 9507 / 10000
Epoch 12: 9506 / 10000
Epoch 13: 9572 / 10000
Epoch 14: 9554 / 10000
Epoch 15: 9547 / 10000
Epoch 16: 9558 / 10000
Epoch 17: 9580 / 10000
Epoch 18: 9546 / 10000
Epoch 19: 9510 / 10000
Epoch 20: 9579 / 10000
Epoch 21: 9561 / 10000
Epoch 22: 9543 / 10000
Epoch 23: 9571 / 10000
Epoch 24: 9575 / 10000
Epoch 25: 9563 / 10000
Epoch 26: 9548 / 10000
Epoch 27: 9515 / 10000
Epoch 28: 9589 / 10000
Epoch 29: 9584 / 10000
